audio,audio_filepath,data_type,transcription
815993798_464290_464298_26635,/train/car-number/voices/815993798_464290_464298_26635.ogg,car,"85, 400, 0,48"
1082554792_447853_447855_26875,/train/car-number/voices/1082554792_447853_447855_26875.ogg,car,40CB309
5591209497_454385_454393_26977,/train/car-number/voices/5591209497_454385_454393_26977.ogg,car,41FU359
1268975918_426452_426453_26625,/train/car-number/voices/1268975918_426452_426453_26625.ogg,car,58QG 873
671891258_474826_474833_27092,/train/car-number/voices/671891258_474826_474833_27092.ogg,car,51 L'de 296
954206432_420931_420934_26647,/train/car-number/voices/954206432_420931_420934_26647.ogg,car,52. Xəqə 681
1229817727_458179_458224_26508,/train/car-number/voices/1229817727_458179_458224_26508.ogg,car,"G, D, 335"
1082554792_473493_473512_26745,/train/car-number/voices/1082554792_473493_473512_26745.ogg,car,Dolce UX 660 Ustaq Kurs
575298922_418328_418329_26934,/train/car-number/voices/575298922_418328_418329_26934.ogg,car,51WE121
341881303_441756_441759_27025,/train/car-number/voices/341881303_441756_441759_27025.ogg,car,54 WL 796
1150481435_414498_414499_26973,/train/car-number/voices/1150481435_414498_414499_26973.ogg,car,46JB771
1043664892_430395_430396_26361,/train/car-number/voices/1043664892_430395_430396_26361.ogg,car,34T-Y378
1229817727_469070_469078_26686,/train/car-number/voices/1229817727_469070_469078_26686.ogg,car,60-cı EO 147
1009209372_475696_475729_26928,/train/car-number/voices/1009209372_475696_475729_26928.ogg,car,LSSUF noen år før.
892642911_423877_423878_26314,/train/car-number/voices/892642911_423877_423878_26314.ogg,car,62-Q-P-781
860296669_468491_468500_26218,/train/car-number/voices/860296669_468491_468500_26218.ogg,car,55. N. Y. 421
1150481435_416514_416515_26957,/train/car-number/voices/1150481435_416514_416515_26957.ogg,car,57LV 537
527731854_457569_457577_26188,/train/car-number/voices/527731854_457569_457577_26188.ogg,car,01HQ777
671891258_471054_471066_27040,/train/car-number/voices/671891258_471054_471066_27040.ogg,car,51TO 314
976055738_450209_450225_27003,/train/car-number/voices/976055738_450209_450225_27003.ogg,car,58 xıxı 511
671891258_422024_422031_26561,/train/car-number/voices/671891258_422024_422031_26561.ogg,car,14 xeyə 753
954206432_420589_420600_26573,/train/car-number/voices/954206432_420589_420600_26573.ogg,car,25 NK 159
976055738_450064_450069_26444,/train/car-number/voices/976055738_450064_450069_26444.ogg,car,18-ci 731
2016758610_443890_443893_26856,/train/car-number/voices/2016758610_443890_443893_26856.ogg,car,70 MN 242
860296669_430552_430553_27113,/train/car-number/voices/860296669_430552_430553_27113.ogg,car,13. F. B. 9. 23.
954206432_424444_424445_26838,/train/car-number/voices/954206432_424444_424445_26838.ogg,car,"69, B, Z, 995"
575298922_416926_416927_26632,/train/car-number/voices/575298922_416926_416927_26632.ogg,car,27.2.1989
2016758610_477075_477083_26421,/train/car-number/voices/2016758610_477075_477083_26421.ogg,car,66 EG 902
1043664892_429892_429894_26724,/train/car-number/voices/1043664892_429892_429894_26724.ogg,car,10.791
1150481435_416264_416265_26868,/train/car-number/voices/1150481435_416264_416265_26868.ogg,car,34GC 498
1878274529_428033_428034_26544,/train/car-number/voices/1878274529_428033_428034_26544.ogg,car,"47, С, Ж, 672."
1150481435_416150_416151_27096,/train/car-number/voices/1150481435_416150_416151_27096.ogg,car,63WZ512
1150481435_416104_416105_26655,/train/car-number/voices/1150481435_416104_416105_26655.ogg,car,37LJ698
671891258_422622_422623_26730,/train/car-number/voices/671891258_422622_422623_26730.ogg,car,41 SW 837
1013880018_471459_471467_26327,/train/car-number/voices/1013880018_471459_471467_26327.ogg,car,37-i-e-099
1051072005_434591_434594_26803,/train/car-number/voices/1051072005_434591_434594_26803.ogg,car,66. Y. G. 554.
1297961140_476651_476657_26449,/train/car-number/voices/1297961140_476651_476657_26449.ogg,car,17. EG 648
671891258_463830_463837_26692,/train/car-number/voices/671891258_463830_463837_26692.ogg,car,42DN 721
671891258_476461_476473_26538,/train/car-number/voices/671891258_476461_476473_26538.ogg,car,46 xeyri 218
912272968_435023_435030_26980,/train/car-number/voices/912272968_435023_435030_26980.ogg,car,28D ve 403
919361428_427497_427498_26426,/train/car-number/voices/919361428_427497_427498_26426.ogg,car,15 Nare 799
1229817727_455140_455145_26654,/train/car-number/voices/1229817727_455140_455145_26654.ogg,car,61 ZU 018
527731854_454552_454557_26184,/train/car-number/voices/527731854_454552_454557_26184.ogg,car,52VY099
539261624_465995_466008_26650,/train/car-number/voices/539261624_465995_466008_26650.ogg,car,54. QW-096
1082554792_450805_450810_27075,/train/car-number/voices/1082554792_450805_450810_27075.ogg,car,40GI-031
815993798_474729_474743_26589,/train/car-number/voices/815993798_474729_474743_26589.ogg,car,03-FS-349
1150481435_413988_413989_26368,/train/car-number/voices/1150481435_413988_413989_26368.ogg,car,03YD151
1878274529_460653_460666_26899,/train/car-number/voices/1878274529_460653_460666_26899.ogg,car,"64, j, y, 564"
892642911_456337_456347_27107,/train/car-number/voices/892642911_456337_456347_27107.ogg,car,28NL-335
1013880018_473638_473658_26994,/train/car-number/voices/1013880018_473638_473658_26994.ogg,car,53 Mıfı 322
5196964268_443164_443167_26638,/train/car-number/voices/5196964268_443164_443167_26638.ogg,car,17BS609
954206432_420227_420230_26438,/train/car-number/voices/954206432_420227_420230_26438.ogg,car,72 Река 972
1201653758_462225_462242_26680,/train/car-number/voices/1201653758_462225_462242_26680.ogg,car,41ZO-964
575298922_446047_446058_26289,/train/car-number/voices/575298922_446047_446058_26289.ogg,car,28HQ933
1128232293_449212_449229_26329,/train/car-number/voices/1128232293_449212_449229_26329.ogg,car,28HK121
1013880018_442608_442609_27066,/train/car-number/voices/1013880018_442608_442609_27066.ogg,car,39 ZS 349
575298922_418342_418343_26356,/train/car-number/voices/575298922_418342_418343_26356.ogg,car,21SY337
2016758610_469081_469086_26180,/train/car-number/voices/2016758610_469081_469086_26180.ogg,car,42 K D 341
539261624_460417_460424_26277,/train/car-number/voices/539261624_460417_460424_26277.ogg,car,22 ғымы 046
815993798_455557_455562_26302,/train/car-number/voices/815993798_455557_455562_26302.ogg,car,48 ky 555
5028632961_421560_421561_26800,/train/car-number/voices/5028632961_421560_421561_26800.ogg,car,56 AZ 263
539261624_454281_454292_27071,/train/car-number/voices/539261624_454281_454292_27071.ogg,car,61SO689
919361428_427233_427234_26338,/train/car-number/voices/919361428_427233_427234_26338.ogg,car,49.D.R. 748
892642911_453585_453597_26601,/train/car-number/voices/892642911_453585_453597_26601.ogg,car,24. F. D. 111
575298922_418270_418271_26809,/train/car-number/voices/575298922_418270_418271_26809.ogg,car,34ZD538
1150481435_415911_415912_26565,/train/car-number/voices/1150481435_415911_415912_26565.ogg,car,39 TF 368
671891258_479279_479288_26413,/train/car-number/voices/671891258_479279_479288_26413.ogg,car,31R-li 654
1009209372_462672_462677_26746,/train/car-number/voices/1009209372_462672_462677_26746.ogg,car,28 PN 543
1201653758_479769_479777_26533,/train/car-number/voices/1201653758_479769_479777_26533.ogg,car,31-R-I-661
910545275_415401_415402_26833,/train/car-number/voices/910545275_415401_415402_26833.ogg,car,24 kıyırı 621
1269496718_435599_435606_27139,/train/car-number/voices/1269496718_435599_435606_27139.ogg,car,14-783
1229817727_468771_468780_26821,/train/car-number/voices/1229817727_468771_468780_26821.ogg,car,"63 x, 573"
815993798_463551_463557_26837,/train/car-number/voices/815993798_463551_463557_26837.ogg,car,Он был же 008.
1051072005_444404_444405_26886,/train/car-number/voices/1051072005_444404_444405_26886.ogg,car,58MM101
976055738_445840_445848_26883,/train/car-number/voices/976055738_445840_445848_26883.ogg,car,"41, 2, 686"
912272968_433911_433916_26407,/train/car-number/voices/912272968_433911_433916_26407.ogg,car,11ZT997
815993798_469677_469683_26366,/train/car-number/voices/815993798_469677_469683_26366.ogg,car,32DY05
619589413_439420_439425_26452,/train/car-number/voices/619589413_439420_439425_26452.ogg,car,55-x-a 931
1297961140_470379_470386_26634,/train/car-number/voices/1297961140_470379_470386_26634.ogg,car,Onları 563.
619589413_440870_440871_26494,/train/car-number/voices/619589413_440870_440871_26494.ogg,car,64. W. U. 233
5028632961_418769_418770_26938,/train/car-number/voices/5028632961_418769_418770_26938.ogg,car,35SV683
860296669_465850_465899_26205,/train/car-number/voices/860296669_465850_465899_26205.ogg,car,72 YL084
2016758610_474224_474242_26278,/train/car-number/voices/2016758610_474224_474242_26278.ogg,car,65 yığırı 671
1347919237_442639_442644_26840,/train/car-number/voices/1347919237_442639_442644_26840.ogg,car,Kırkçı H E 511
860296669_452045_452054_26633,/train/car-number/voices/860296669_452045_452054_26633.ogg,car,90 Y C 781
1268975918_426677_426678_26284,/train/car-number/voices/1268975918_426677_426678_26284.ogg,car,47VM312
